"","Date","^GSPC","AAPL","AMD","CRM","NVDA","ORCL","QCOM","AXP","BRK-B","GS","JPM","MA","V","BA","CAT","GE","LMT","MMM","RTX","AMZN","HLT","MAR","MCD","NKE","TSLA","CVX","EOG","FANG","HES","TXGE","XOM"
"1","2016-01-01",1940.24,22.07,2.2,67.76,0.71,31.6,35.16,46.96,129.77,135.02,46.64,84.43,70.08,107.74,49.63,124.14,167.34,92.99,44.58,29.35,34.86,56.37,99.89,56.15,12.75,59.59,54.55,60.38,36.71,856.69,52.51
"2","2016-02-01",1932.23,21.92,2.14,67.45,0.77,32.14,39.38,49,134.17,124.96,44.43,82.59,68.1,105.99,54.66,124.31,171.14,96.61,49.12,27.63,40.67,62.69,94.57,55.77,12.8,57.5,49.86,56.94,37.66,1112.63,54.06
"3","2016-03-01",2059.74,24.85,2.85,73.5,0.87,35.75,40.03,54.13,141.88,131.76,46.74,89.8,72.09,114.9,61.79,136.7,177,103.36,51.27,29.68,44.08,65.72,102.19,55.66,15.32,66.57,55.9,61.68,45.48,1120.92,56.89
"4","2016-04-01",2065.3,21.37,3.55,75.46,0.87,34.83,39.54,57.68,145.48,137.75,49.88,92.16,72.81,122.01,62.75,132.23,185.69,103.83,53.46,32.98,43.3,64.71,102.85,53.5,16.05,71.31,63.63,69.19,51.76,1426.58,60.17
"5","2016-05-01",2096.95,22.76,4.57,83.34,1.14,35.26,42.98,58.26,140.54,133.86,51.89,91.31,74.41,114.18,59.11,129.99,188.77,104.41,51.52,36.14,40.81,60.98,99.25,50.13,14.88,70.48,62.79,72.69,52.03,1298.6,60.59
"6","2016-06-01",2098.86,21.93,5.14,79.06,1.15,35.9,42.33,53.83,144.79,125.22,49.4,83.85,70.04,118.51,61.8,135.37,199.67,109.35,52.87,35.78,44.38,61.64,97.85,50.11,14.15,73.93,64.38,72.89,52.17,1577.29,64.34
"7","2016-07-01",2173.6,23.9,6.86,81.44,1.4,35.99,49.45,57.39,144.27,133.84,50.86,90.68,73.7,121.97,67.47,134.92,203.34,111.37,55.5,37.94,45.68,66.5,96.37,50.53,15.65,72.27,63.06,70.16,46.78,1760.82,61.05
"8","2016-08-01",2170.95,24.33,7.4,79.07,1.51,36.28,49.84,58.39,150.49,142.82,54.08,92.2,76.39,118.13,67.45,135.35,195.49,111.92,54.88,38.46,47.02,66.15,94.74,52.48,14.13,70.93,68.43,76.12,47.35,1466.44,59.81
"9","2016-09-01",2168.27,26.07,6.91,71.01,1.69,34.58,54.59,57.02,144.47,136.45,53.35,97.11,78.23,121.21,73.06,128.33,194.19,110.73,52.7,41.87,45.3,62.44,95.23,47.93,13.6,73.35,74.79,77.15,46.75,1516.8,60.41
"10","2016-10-01",2126.15,26.18,7.23,74.83,1.75,33.82,54.76,59.14,144.3,150.81,55.49,102.12,78.05,131.05,68.69,127.06,199.58,103.86,53.01,39.49,44.65,63.99,92.92,45.81,13.18,74.65,69.93,72.96,42.05,1415.34,57.67
"11","2016-11-01",2198.81,25.49,8.91,71.68,2.27,35.51,54.29,64.46,157.44,185.54,64.7,97.7,73.14,138.53,79.35,134.31,214.87,107.91,55.88,37.53,49.53,73.38,98.45,45.71,12.63,79.5,79.42,86.19,49.05,1204.09,60.43
"12","2016-12-01",2238.83,26.85,11.34,68.16,2.63,33.98,52.36,66.29,162.98,203.22,69.64,98.71,73.95,144.34,77.01,137.98,203.86,112.92,57.21,37.49,53.9,77.31,101.26,46.41,14.25,84.72,78.32,80.77,54.6,1203.67,63.03
"13","2017-01-01",2278.87,28.13,10.37,78.75,2.69,35.44,42.91,68.35,164.14,194.63,68.3,101.65,78.4,151.51,79.43,130.66,204.99,110.55,57.24,41.17,55.61,79.11,101.96,48.47,16.8,80.15,78.69,84.05,47.68,1347.99,58.58
"14","2017-02-01",2363.64,31.75,14.46,80.99,2.5,37.78,45.36,71.94,171.42,210.53,73.54,105.82,83.36,167.1,80.93,131.14,217.43,117.84,58.74,42.25,55.24,81.34,106.19,52.37,16.67,80.98,75.26,80.61,45.27,1290.43,56.79
"15","2017-03-01",2362.72,33.44,14.55,82.13,2.69,39.57,46.48,71.09,166.68,195.47,71.28,107.74,84.4,165.39,77.66,132.15,219.77,121.77,58.91,44.33,56.46,88.37,108.61,51.06,18.55,78.02,75.69,82.89,42.43,1306.76,57.79
"16","2017-04-01",2384.2,33.44,13.3,85.74,2.57,39.88,43.56,71.22,165.21,190.44,70.6,111.43,86.63,172.84,85.61,128.55,221.29,124.64,62.47,46.25,57.1,88.59,117.26,50.93,20.94,77.54,71.77,79.79,43.2,1264.21,57.54
"17","2017-05-01",2411.8,35.56,11.19,89.24,3.56,40.44,46.43,69.42,165.28,179.77,67.05,117.95,90.44,175.46,89,121.41,230.88,130.14,63.68,49.73,64.37,101.01,126.45,48.7,22.73,75.2,70.19,74.13,40.6,1239.92,56.73
"18","2017-06-01",2423.41,33.66,12.48,86.22,3.57,44.67,45.2,76.01,169.37,189.46,74.6,116.58,89.22,186.34,90.72,119.77,229.46,133.3,64.46,48.4,60.04,94.42,128.35,54.23,24.11,76.59,70.36,70.98,38.81,1214.39,57.43
"19","2017-07-01",2470.3,34.77,13.61,90.4,4.01,44.48,43.54,76.91,174.97,192.38,74.93,122.67,94.72,228.46,96.19,114.52,241.46,128.8,62.59,49.39,60.7,98.07,130.82,54.46,21.56,80.15,73.95,76.63,39.62,1183.9,56.94
